Year,Age_Group,Gender,Smoking_Prevalence,Drug_Experimentation,Socioeconomic_Status,Peer_Influence
2022,30-39,Male,56.050000000000004,44.82,Low,11.1
2020,60-69,Male,21.07,45.99,Middle,21.1
2020,30-39,Male,64.05000000000001,46.16,Low,16.1
2021,40-49,Male,48.949999999999996,16.5,Low,18.1
2024,40-49,Male,23.48,45.800000000000004,High,7.1
2021,70-79,Male,23.62,45.25,High,8.1
2022,80+,Male,-15.030000000000001,-5.490000000000002,Low,18.1
2021,80+,Female,20.040000000000003,27.6,High,9.1
2021,70-79,Male,24.02,-3.3900000000000006,High,15.1
2023,20-29,Male,17.92,26.990000000000002,Middle,15.1
2024,20-29,Male,28.3,77.52,Middle,14.1
2024,60-69,Male,33.69,53.96,High,7.1
2021,10-19,Female,23.939999999999998,32.86,Middle,14.1
2020,50-59,Male,0.33,14.439999999999998,Low,13.1
2020,40-49,Male,6.6899999999999995,6.709999999999997,Low,15.1
2024,20-29,Female,23.31,55.50000000000001,Middle,21.1
2023,10-19,Female,58.13,-10.120000000000001,Middle,22.1
2024,30-39,Male,60.660000000000004,40.650000000000006,Middle,13.1
2021,60-69,Male,-7.36,3.8599999999999977,Low,13.1
2023,30-39,Male,54.31,52.2,Middle,21.1
2022,70-79,Male,5.57,3.6499999999999986,Low,9.1
2024,40-49,Male,11.93,46.74,High,8.1
2021,20-29,Male,15.39,29.689999999999998,Middle,18.1
2020,60-69,Male,-5.98,33.13,High,9.1
2023,30-39,Male,47.160000000000004,67.78,Low,12.1
2023,20-29,Female,10.17,73.52,High,9.1
2023,30-39,Female,40.59,63.43,High,8.1
2020,10-19,Male,46.36,0.7999999999999972,Middle,17.1
2022,30-39,Male,28.43,46.5,High,16.1
2020,20-29,Male,33.48,75.43,High,9.1
2021,20-29,Male,17.990000000000002,56.83,Middle,17.1
2020,30-39,Male,41.22,37.150000000000006,Middle,13.1
2024,20-29,Female,36.9,11.35,Low,13.1
2020,10-19,Male,13.86,36.87,High,12.1
2021,30-39,Male,24.51,46.68,Low,16.1
2021,50-59,Male,17.330000000000002,23.06,Middle,18.1
2023,80+,Male,12.250000000000004,-0.29000000000000625,Low,9.1
2020,10-19,Male,24.38,31.14,Middle,20.1
2024,60-69,Female,24.720000000000002,61.65000000000001,High,14.1
2021,20-29,Male,39.96,24.18,Middle,21.1
2023,40-49,Female,24.55,35.62,Low,9.1
2024,10-19,Male,45.95,31.490000000000002,Low,12.1
2020,80+,Male,12.919999999999998,27.559999999999995,Middle,17.1
2024,80+,Female,5.48,-12.070000000000002,Middle,13.1
2020,70-79,Male,6.849999999999998,-4.640000000000001,Low,9.1
2024,40-49,Male,11.170000000000002,42.849999999999994,Low,17.1
2021,80+,Female,4.59,44.919999999999995,High,9.1
2023,10-19,Male,34.04,15.93,Middle,21.1
2021,20-29,Male,26.03,10.18,Low,15.1
2021,70-79,Male,30.470000000000002,5.340000000000003,Middle,16.1
2022,10-19,Male,45.7,34.50999999999999,Low,17.1
2023,10-19,Male,18.27,36.72,High,9.1
2024,20-29,Male,42.47,71.69999999999999,Middle,16.1
2021,40-49,Female,39.65,56.23,Low,14.1
2021,50-59,Female,32.1,48.21,Middle,15.1
2021,30-39,Male,24.78,15.850000000000001,Low,9.1
2021,20-29,Female,16.3,34.93,Low,17.1
2023,20-29,Male,16.360000000000003,26.11,Low,11.1
2021,20-29,Male,51.28,75.42,Middle,16.1
2021,40-49,Female,19.310000000000002,45.56,Middle,22.1
2024,60-69,Male,24.849999999999998,10.21,Low,11.1
2023,70-79,Female,13.029999999999998,23.450000000000003,High,13.1
2023,20-29,Male,22.5,39.41,Middle,16.1
2022,10-19,Male,16.0,4.419999999999998,Low,16.1
2022,50-59,Male,30.96,61.98,Middle,21.1
2020,60-69,Male,31.830000000000002,-5.68,Middle,21.1
2023,50-59,Female,17.03,80.08000000000001,High,12.1
2020,70-79,Male,34.11,-3.1499999999999986,Middle,15.1
2020,20-29,Male,17.830000000000002,57.2,Middle,15.1
2021,10-19,Female,35.35,27.559999999999995,Low,14.1
2023,20-29,Male,47.26,45.34,Middle,22.1
2023,70-79,Female,7.0,-29.41,Low,14.1
2024,70-79,Male,4.850000000000001,-13.77,Low,15.1
2021,10-19,Female,30.189999999999998,-11.630000000000003,Middle,17.1
2022,80+,Male,15.57,12.439999999999998,Middle,21.1
2023,20-29,Male,17.23,30.490000000000002,Middle,19.1
2023,10-19,Male,30.82,-5.440000000000001,Low,11.1
2024,50-59,Female,40.29,35.78,Low,13.1
2022,80+,Male,-0.5400000000000009,36.37,High,14.1
2023,30-39,Female,48.69,62.75,Middle,14.1
2021,60-69,Male,9.75,12.160000000000002,Middle,16.1
2023,60-69,Male,14.030000000000001,71.30000000000001,High,15.1
2021,60-69,Male,1.3099999999999987,41.02,Middle,18.1
2023,70-79,Male,17.429999999999996,20.509999999999998,High,10.1
2020,10-19,Female,57.28,19.380000000000003,Middle,15.1
2024,60-69,Male,21.74,-4.450000000000003,Low,10.1
2020,30-39,Female,56.940000000000005,22.130000000000003,Middle,22.1
2024,60-69,Male,-3.42,6.050000000000001,Low,15.1
2022,40-49,Male,45.459999999999994,11.969999999999997,Low,13.1
2021,80+,Female,21.929999999999996,5.390000000000001,Middle,22.1
2022,10-19,Female,15.28,40.76,High,13.1
2022,20-29,Male,36.09,20.76,Middle,14.1
2022,20-29,Male,10.25,12.02,Low,18.1
2023,70-79,Male,4.310000000000002,-16.160000000000004,Middle,18.1
2020,80+,Male,22.73,-3.970000000000006,Low,15.1
2022,10-19,Male,52.06,34.74,High,16.1
2022,10-19,Female,23.020000000000003,2.41,Low,11.1
2024,80+,Female,23.26,3.859999999999998,Low,14.1
2020,40-49,Male,18.27,32.89,Low,16.1
2022,20-29,Male,49.84,28.89,Middle,22.1
2021,80+,Male,2.41,25.659999999999997,High,12.1
2021,30-39,Male,56.650000000000006,54.51,Middle,13.1
2023,70-79,Female,16.349999999999998,20.78,Middle,21.1
2023,30-39,Male,60.59,44.790000000000006,High,14.1
2023,50-59,Female,27.75,26.730000000000004,Middle,15.1
2023,20-29,Male,46.410000000000004,51.0,High,12.1
2023,20-29,Female,22.4,51.2,Low,16.1
2024,20-29,Female,38.85,21.150000000000002,Low,10.1
2022,60-69,Female,0.9699999999999989,21.17,Low,18.1
2020,10-19,Female,54.4,22.53,High,14.1
2024,80+,Male,10.41,-10.110000000000001,Middle,13.1
2024,60-69,Male,19.98,-11.120000000000001,Low,17.1
2023,60-69,Male,37.480000000000004,12.83,High,15.1
2021,40-49,Male,47.769999999999996,13.969999999999997,Low,11.1
2023,80+,Male,4.380000000000003,-18.150000000000002,Middle,21.1
2023,10-19,Male,50.080000000000005,34.269999999999996,Low,14.1
2021,30-39,Female,61.25,21.57,Low,14.1
2020,10-19,Female,37.15,-13.570000000000004,Low,18.1
2020,20-29,Female,39.46,61.980000000000004,Middle,15.1
2022,70-79,Female,19.220000000000002,-7.93,Middle,16.1
2023,20-29,Male,31.39,46.370000000000005,High,15.1
2020,20-29,Male,23.94,96.51,High,12.1
2021,60-69,Female,6.959999999999997,12.28,High,8.1
2024,10-19,Male,26.840000000000003,68.35999999999999,High,16.1
2020,10-19,Male,32.67,28.409999999999997,Middle,18.1
2024,60-69,Male,20.900000000000002,28.470000000000006,Low,11.1
2022,60-69,Male,-8.39,17.17,High,14.1
2020,60-69,Male,-4.260000000000001,-14.250000000000002,Low,12.1
2021,70-79,Female,7.91,29.89,Middle,20.1
2022,20-29,Male,39.97,87.55,High,15.1
2023,60-69,Male,18.48,48.00000000000001,Middle,22.1
2021,60-69,Female,2.700000000000001,35.13,High,9.1
2024,70-79,Female,25.429999999999996,17.989999999999995,Low,15.1
2023,70-79,Male,5.390000000000004,26.75,High,13.1
2023,20-29,Male,47.25,74.51,Middle,19.1
2022,10-19,Male,44.7,51.52,High,9.1
2022,10-19,Male,18.68,20.490000000000002,Low,12.1
2020,70-79,Male,-1.549999999999999,28.979999999999997,High,7.1
2023,10-19,Female,20.990000000000002,31.729999999999997,High,13.1
2021,20-29,Male,5.569999999999999,54.08,Low,11.1
2020,50-59,Female,40.99,25.77,High,9.1
2021,10-19,Male,54.620000000000005,0.9899999999999949,Middle,15.1
2023,20-29,Female,26.9,23.58,Middle,22.1
2023,30-39,Male,29.67,69.93,High,16.1
2024,40-49,Female,39.83,51.36,Middle,18.1
2021,40-49,Female,61.58,69.74,Middle,13.1
2021,80+,Male,9.489999999999998,18.50999999999999,Low,14.1
2022,50-59,Male,50.41,63.13,Middle,15.1
2024,50-59,Male,56.14,44.31,Middle,17.1
2022,40-49,Male,26.220000000000002,74.13000000000001,Middle,19.1
2024,10-19,Male,62.13,32.83,Middle,21.1
2023,70-79,Male,24.110000000000003,-21.55,Low,15.1
2023,20-29,Female,7.24,91.64,High,7.1
2024,50-59,Female,31.450000000000003,6.6999999999999975,Low,10.1
2021,30-39,Male,39.94,73.16,Middle,21.1
2024,40-49,Male,38.86,19.439999999999998,Low,13.1
2023,20-29,Male,56.81,53.68000000000001,Middle,22.1
2021,20-29,Female,4.85,59.120000000000005,High,14.1
2022,40-49,Female,23.09,56.28,Low,12.1
2023,10-19,Female,37.29,24.979999999999997,Middle,20.1
2020,70-79,Female,34.349999999999994,20.4,Middle,22.1
2024,50-59,Male,42.56,74.92,High,13.1
2022,10-19,Male,13.36,21.78,Low,15.1
2020,20-29,Male,34.78,20.79,Low,9.1
2024,20-29,Male,14.4,98.74,High,7.1
2020,60-69,Male,38.78,41.940000000000005,Middle,15.1
2024,30-39,Female,53.2,46.61000000000001,Middle,15.1
2024,20-29,Male,21.3,36.92000000000001,Middle,16.1
2024,10-19,Male,43.230000000000004,1.9299999999999984,Low,11.1
2024,40-49,Male,46.629999999999995,56.47,High,15.1
2022,20-29,Male,24.35,22.62,Low,13.1
2024,10-19,Male,39.18000000000001,14.019999999999998,Low,10.1
2021,10-19,Male,37.339999999999996,21.78,Middle,21.1
2021,80+,Male,22.459999999999997,8.11,High,14.1
2022,80+,Female,0.6600000000000001,-10.650000000000002,Low,16.1
2022,20-29,Male,24.75,60.260000000000005,Middle,20.1
2022,30-39,Male,64.46000000000001,82.00999999999999,High,7.1
2024,10-19,Female,51.45,18.410000000000004,High,8.1
2023,70-79,Male,27.959999999999997,47.870000000000005,High,11.1
2022,10-19,Male,9.39,23.729999999999997,Low,13.1
2024,60-69,Male,27.180000000000003,-6.790000000000001,Middle,16.1
2023,60-69,Female,28.319999999999997,-4.770000000000001,Low,12.1
2024,80+,Male,19.169999999999998,8.109999999999998,High,11.1
2023,20-29,Male,7.58,58.78,High,8.1
2024,50-59,Male,23.720000000000002,-5.650000000000002,Low,13.1
2020,20-29,Male,30.36,50.97,Middle,15.1
2023,30-39,Male,30.830000000000002,76.82,High,8.1
2024,50-59,Male,22.990000000000002,9.809999999999997,Low,11.1
2021,40-49,Male,35.83,60.809999999999995,Low,12.1
2023,30-39,Female,53.13,68.0,Middle,21.1
2020,20-29,Female,21.28,21.590000000000003,Middle,18.1
2021,10-19,Male,26.729999999999997,-5.050000000000006,Low,9.1
2023,70-79,Female,25.91,8.18,High,16.1
2023,10-19,Female,36.91,-13.630000000000003,Low,13.1
2020,10-19,Female,33.47,38.73,Middle,17.1
2021,60-69,Male,2.25,-1.6899999999999995,Low,17.1
2021,70-79,Male,27.45,-3.5199999999999996,Low,11.1
2020,50-59,Male,23.25,17.990000000000002,Low,9.1
2021,20-29,Male,9.01,85.69,High,11.1
2021,70-79,Male,-0.6800000000000015,-22.98,Middle,13.1
2022,40-49,Female,18.040000000000003,50.97,Low,14.1
2024,10-19,Male,45.0,18.939999999999998,High,12.1
2023,10-19,Male,32.61,29.949999999999996,Low,13.1
2021,60-69,Male,15.830000000000002,32.510000000000005,High,13.1
2024,80+,Male,-3.1000000000000014,5.3199999999999985,Low,15.1
2024,60-69,Female,0.040000000000000924,51.720000000000006,High,13.1
2023,70-79,Male,7.060000000000002,0.7199999999999989,Middle,18.1
2024,60-69,Female,4.280000000000001,29.500000000000007,Middle,15.1
2020,20-29,Male,17.560000000000002,61.099999999999994,High,16.1
2023,10-19,Female,47.620000000000005,7.379999999999999,High,11.1
2023,50-59,Male,5.93,48.35,High,14.1
2021,40-49,Male,45.54,47.56,Middle,22.1
2022,20-29,Male,54.81,32.3,Middle,13.1
2023,30-39,Male,53.09,16.32,Low,14.1
2020,80+,Female,21.859999999999996,-19.130000000000003,Low,10.1
2021,40-49,Male,33.47,63.349999999999994,High,11.1
2021,60-69,Female,-1.3399999999999999,69.95,High,11.1
2022,80+,Male,12.82,-20.020000000000003,Low,11.1
2024,20-29,Male,48.92,35.449999999999996,Middle,20.1
2023,70-79,Male,23.38,17.409999999999997,Low,9.1
2023,20-29,Male,26.42,75.17,High,9.1
2024,20-29,Male,56.26,60.160000000000004,Middle,14.1
2023,70-79,Male,8.52,31.720000000000006,Middle,19.1
2023,40-49,Male,60.129999999999995,30.689999999999998,Middle,22.1
2024,40-49,Male,11.100000000000001,76.42,High,9.1
2024,10-19,Female,39.16,-9.720000000000004,Low,18.1
2020,50-59,Male,11.13,-9.03,Low,10.1
2020,40-49,Female,40.82,79.69,High,16.1
2020,10-19,Male,29.509999999999998,-5.410000000000004,Low,10.1
2020,10-19,Male,32.14,23.020000000000003,Middle,16.1
2024,20-29,Male,33.47,16.27,Low,9.1
2021,40-49,Male,9.27,7.399999999999999,Low,9.1
2022,30-39,Male,53.800000000000004,64.29,Low,15.1
2020,60-69,Male,12.189999999999998,23.830000000000005,High,14.1
2022,80+,Male,12.189999999999998,-13.730000000000004,Low,11.1
2020,80+,Male,-4.050000000000001,49.04,High,9.1
2022,20-29,Male,3.929999999999999,52.06,Low,12.1
2024,20-29,Male,42.82,47.550000000000004,Middle,15.1
2024,50-59,Female,9.170000000000002,31.790000000000003,Low,16.1
2020,10-19,Male,37.5,19.93,Middle,17.1
2024,80+,Male,32.120000000000005,22.11,High,7.1
2022,10-19,Male,26.33,26.68,Low,9.1
2022,80+,Male,23.429999999999996,18.03,High,15.1
2022,20-29,Male,30.17,54.84,Low,11.1
2022,50-59,Male,4.76,68.7,High,10.1
2021,20-29,Female,34.34,51.05,High,14.1
2021,80+,Male,35.53,-19.5,Middle,22.1
2021,80+,Male,21.2,21.15,Middle,13.1
2020,20-29,Male,51.98,76.31,Middle,22.1
2021,50-59,Male,25.2,22.32,Middle,22.1
2022,10-19,Male,18.6,-18.720000000000002,Low,16.1
2020,10-19,Male,60.89,-11.000000000000002,Middle,18.1
2022,80+,Male,-8.8,28.869999999999997,High,10.1
2020,80+,Male,2.669999999999998,-37.92,Low,9.1
2020,10-19,Male,29.46,-8.070000000000002,Middle,22.1
2024,10-19,Female,21.439999999999998,10.609999999999998,Low,18.1
2020,70-79,Male,34.209999999999994,32.190000000000005,Middle,16.1
2021,10-19,Male,44.410000000000004,-3.5500000000000007,Middle,21.1
2023,10-19,Male,25.39,-23.680000000000003,Low,13.1
2022,40-49,Male,25.01,54.46,Middle,19.1
2021,50-59,Female,36.03,40.49,Middle,19.1
2024,50-59,Male,29.89,14.659999999999995,Low,10.1
2021,10-19,Male,44.97,-5.450000000000001,Low,16.1
2022,10-19,Female,26.229999999999997,29.559999999999995,Low,9.1
2023,20-29,Male,38.97,8.379999999999999,Low,11.1
2022,60-69,Female,19.61,19.080000000000005,Middle,14.1
2023,80+,Male,-5.190000000000003,17.72,Low,14.1
2022,20-29,Male,19.27,13.370000000000001,Low,9.1
2020,10-19,Male,56.1,21.5,Middle,20.1
2023,40-49,Female,38.419999999999995,68.13,High,8.1
2022,80+,Male,6.400000000000002,22.58,High,14.1
2023,20-29,Male,45.83,91.01,High,11.1
2022,60-69,Male,25.8,22.490000000000002,Middle,21.1
2023,30-39,Male,55.800000000000004,58.64,Low,10.1
2022,60-69,Male,12.18,26.480000000000004,Low,15.1
2020,30-39,Male,41.97,84.27000000000001,High,15.1
2022,20-29,Male,13.44,42.84,Low,11.1
2023,10-19,Male,11.69,25.490000000000002,Low,14.1
2023,20-29,Female,38.66,38.510000000000005,Middle,22.1
2024,80+,Female,-15.24,33.25,High,16.1
2022,60-69,Female,40.489999999999995,3.410000000000002,Middle,13.1
2022,70-79,Male,18.830000000000002,-22.12,Middle,15.1
2023,60-69,Female,3.08,19.800000000000004,High,11.1
2024,70-79,Male,9.240000000000002,20.15,Low,17.1
2020,70-79,Male,18.999999999999996,0.7699999999999996,Low,11.1
2021,20-29,Female,11.810000000000002,30.51,Low,12.1
2023,60-69,Male,21.74,5.270000000000001,Low,10.1
2024,30-39,Female,76.27000000000001,66.96,Middle,17.1
2022,10-19,Female,17.45,3.639999999999997,Low,11.1
2024,60-69,Female,-0.08999999999999986,-5.690000000000001,Low,17.1
2021,70-79,Male,5.559999999999999,12.18,Low,13.1
2021,80+,Male,-9.24,3.8799999999999955,High,12.1
2023,60-69,Female,6.52,17.340000000000003,Middle,15.1
2024,40-49,Male,60.21,66.67999999999999,Middle,13.1
2022,50-59,Male,10.6,27.309999999999995,Low,10.1
2020,60-69,Male,-7.99,-9.910000000000002,Low,10.1
2024,20-29,Male,41.230000000000004,74.21,Middle,22.1
2021,20-29,Male,31.26,89.8,High,11.1
2023,50-59,Female,7.380000000000001,37.5,High,14.1
2021,40-49,Male,9.030000000000001,38.55,High,15.1
2022,40-49,Female,50.3,73.7,High,14.1
2023,60-69,Male,27.669999999999998,2.230000000000002,Low,14.1
2024,40-49,Male,19.39,13.519999999999996,Low,13.1
2022,60-69,Male,27.05,-1.910000000000002,Low,17.1
2022,30-39,Male,28.660000000000004,57.84,High,9.1
2022,30-39,Female,42.82,91.02000000000001,High,11.1
2024,60-69,Male,-0.5,10.030000000000001,Low,11.1
2024,20-29,Male,5.13,40.230000000000004,Low,13.1
2024,50-59,Male,27.770000000000003,62.08,High,8.1
2023,60-69,Male,33.39,18.11,High,7.1
2020,40-49,Female,41.48,62.36,High,9.1
2020,60-69,Female,-7.130000000000002,17.6,Low,11.1
2023,10-19,Male,59.75,-7.150000000000002,Middle,17.1
2023,10-19,Male,29.25,-23.500000000000004,Low,15.1
2024,20-29,Female,0.40000000000000036,42.410000000000004,High,14.1
2021,40-49,Male,14.989999999999998,52.199999999999996,High,14.1
2021,50-59,Female,23.73,62.470000000000006,Middle,17.1
2024,80+,Male,13.5,-9.58,Middle,18.1
2020,60-69,Female,-5.48,65.7,High,16.1
2021,80+,Male,16.220000000000002,-0.39000000000000057,Middle,15.1
2023,20-29,Male,40.18,89.57,High,16.1
2023,10-19,Female,46.42,62.54,High,7.1
2022,80+,Male,13.36,2.8799999999999955,High,11.1
2022,70-79,Male,15.400000000000002,-16.78,Low,14.1
2023,50-59,Female,16.0,26.81,Middle,13.1
2024,60-69,Female,6.800000000000001,-1.9700000000000002,Middle,17.1
2023,70-79,Male,8.210000000000004,-1.3200000000000003,High,13.1
2020,20-29,Female,29.36,22.89,Low,11.1
2022,20-29,Female,20.03,12.68,Low,11.1
2022,10-19,Male,45.940000000000005,-1.0100000000000051,Low,10.1
2022,80+,Male,24.74,18.11,Middle,13.1
2020,20-29,Female,19.88,57.38000000000001,Middle,22.1
2021,40-49,Female,40.91,45.239999999999995,High,9.1
2023,80+,Female,6.870000000000001,-35.040000000000006,Low,15.1
2022,70-79,Female,26.209999999999997,27.04,Middle,17.1
2020,10-19,Male,59.92,13.780000000000001,Middle,14.1
2024,10-19,Male,29.310000000000002,59.519999999999996,High,11.1
2021,10-19,Female,35.57,1.3799999999999955,Low,10.1
2022,80+,Male,17.669999999999998,2.280000000000001,High,7.1
2022,70-79,Male,27.59,-21.37,Middle,22.1
2020,50-59,Female,42.54,4.119999999999997,Low,11.1
2021,40-49,Male,41.169999999999995,82.39,High,13.1
2023,50-59,Female,33.559999999999995,26.54,High,8.1
2022,10-19,Male,14.58,32.769999999999996,High,8.1
2021,50-59,Male,23.950000000000003,31.53,High,14.1
2024,10-19,Female,31.009999999999998,32.2,Low,11.1
2024,60-69,Male,33.89,45.28,High,14.1
2022,40-49,Male,8.51,71.29,High,16.1
2024,60-69,Male,6.379999999999999,46.440000000000005,Middle,16.1
2022,80+,Female,-2.7399999999999984,-31.790000000000003,Low,18.1
2021,70-79,Male,2.679999999999996,23.67,High,15.1
2020,40-49,Male,8.7,81.98,High,14.1
2020,60-69,Male,-11.59,37.34,Low,16.1
2020,60-69,Male,17.439999999999998,20.760000000000005,Middle,14.1
2024,30-39,Male,68.14,31.810000000000002,Middle,18.1
2020,40-49,Male,46.599999999999994,52.48,Middle,18.1
2022,20-29,Female,15.06,47.71000000000001,High,15.1
2020,70-79,Male,-2.2300000000000004,-24.720000000000002,Low,11.1
2023,40-49,Female,21.84,76.74999999999999,Middle,15.1
2020,30-39,Female,43.13,85.97,High,12.1
2022,60-69,Male,-7.090000000000001,-22.04,Low,16.1
2020,10-19,Female,22.619999999999997,26.4,Low,10.1
2022,60-69,Male,30.16,39.67,High,8.1
2022,30-39,Male,75.99000000000001,36.49,Middle,20.1
2023,20-29,Male,15.7,98.26,High,9.1
2022,30-39,Male,38.64,74.25,Middle,21.1
2023,40-49,Male,34.58,44.9,High,16.1
2022,10-19,Male,43.79,39.699999999999996,High,9.1
2022,80+,Male,9.75,-15.11,Middle,15.1
2024,10-19,Male,28.6,-10.190000000000003,Low,14.1
2024,70-79,Male,5.040000000000003,-15.120000000000003,Low,10.1
2024,70-79,Male,42.400000000000006,-9.97,Middle,20.1
2020,70-79,Male,12.860000000000003,2.9200000000000017,Low,9.1
2024,60-69,Male,47.989999999999995,40.52,Middle,20.1
2020,20-29,Male,15.990000000000002,38.94,Low,11.1
2021,20-29,Female,27.53,72.75,Middle,21.1
2021,40-49,Male,44.0,52.059999999999995,Low,12.1
2020,20-29,Female,3.3500000000000005,49.730000000000004,High,8.1
2022,10-19,Male,41.28,3.6499999999999986,Middle,21.1
2023,60-69,Female,-4.9399999999999995,20.260000000000005,High,11.1
2024,50-59,Male,7.700000000000001,25.630000000000003,Low,11.1
2020,60-69,Female,2.469999999999999,17.85,Middle,15.1
2022,80+,Female,-3.209999999999999,23.82,High,12.1
2024,50-59,Male,42.31,1.5299999999999998,Low,10.1
2021,40-49,Female,50.559999999999995,29.529999999999994,Middle,14.1
2024,20-29,Female,6.02,58.61000000000001,Low,13.1
2023,10-19,Female,51.63,-2.880000000000001,Middle,15.1
2020,80+,Male,26.109999999999996,27.699999999999996,High,15.1
2021,50-59,Male,15.53,74.55,High,13.1
2021,40-49,Male,51.8,49.839999999999996,High,9.1
2020,10-19,Male,18.189999999999998,38.87,High,9.1
2020,50-59,Male,50.41,47.56,Middle,21.1
2020,80+,Male,14.759999999999994,6.309999999999995,High,11.1
2022,30-39,Female,53.870000000000005,66.24000000000001,Middle,19.1
2024,10-19,Female,44.970000000000006,11.959999999999999,Middle,16.1
2023,10-19,Female,49.13,27.32,High,16.1
2024,30-39,Female,33.56,46.85,High,12.1
2020,10-19,Female,40.79,14.7,High,8.1
2020,70-79,Male,40.650000000000006,23.42,Middle,18.1
2024,10-19,Male,25.61,9.459999999999999,High,9.1
2023,50-59,Male,21.130000000000003,38.92,High,15.1
2022,20-29,Female,26.33,63.650000000000006,Low,12.1
2021,50-59,Male,40.91,15.22,Middle,19.1
2020,70-79,Female,22.31,-0.46999999999999886,High,16.1
2022,10-19,Male,54.480000000000004,60.04,High,13.1
2024,10-19,Male,49.11,32.13,Low,14.1
2020,60-69,Male,17.099999999999998,-12.270000000000001,Low,15.1
2023,70-79,Female,5.09,8.25,High,15.1
2023,80+,Male,0.3000000000000007,6.3799999999999955,Middle,14.1
2020,80+,Male,35.870000000000005,25.689999999999998,Middle,22.1
2021,30-39,Male,32.07,47.24,High,16.1
2022,10-19,Male,18.619999999999997,19.67,High,12.1
2024,30-39,Male,78.74000000000001,26.57,Middle,15.1
2023,30-39,Male,65.59,60.38,High,13.1
2022,30-39,Female,71.78,41.52,Middle,13.1
2021,40-49,Female,20.669999999999998,83.34,High,8.1
2022,50-59,Male,14.240000000000002,23.65,Low,16.1
